HDI rank,Country,Human Development Index (HDI) - 2021,Life expectancy at birth - 2021,Expected years of schooling - 2021,Mean years of schooling - 2021,Gross national income (GNI) per capita - 2021
1.0,Switzerland,0.962,84.0,16.5,13.9,66933.0
2.0,Norway,0.961,83.2,18.2,13.0,64660.0
3.0,Iceland,0.959,82.7,19.2,13.8,55782.0
4.0,Hong Kong,0.952,85.5,17.3,12.2,62607.0
5.0,Australia,0.951,84.5,21.1,12.7,49238.0
6.0,Denmark,0.948,81.4,18.7,13.0,60365.0
7.0,Sweden,0.947,83.0,19.4,12.6,54489.0
8.0,Ireland,0.945,82.0,18.9,11.6,76169.0
9.0,Germany,0.942,80.6,17.0,14.1,54534.0
10.0,Netherlands,0.941,81.7,18.7,12.6,55979.0
11.0,Finland,0.94,82.0,19.1,12.9,49452.0
12.0,Singapore,0.939,82.8,16.5,11.9,90919.0
13.0,Belgium,0.937,81.9,19.6,12.4,52293.0
13.0,New Zealand,0.937,82.5,20.3,12.9,44057.0
15.0,Canada,0.936,82.7,16.4,13.8,46808.0
16.0,Liechtenstein,0.935,83.3,15.2,12.5,146830.0
17.0,Luxembourg,0.93,82.6,14.4,13.0,84649.0
18.0,United Kingdom,0.929,80.7,17.3,13.4,45225.0
19.0,Japan,0.925,84.8,15.2,13.4,42274.0
19.0,Korea,0.925,83.7,16.5,12.5,44501.0
21.0,United States,0.921,77.2,16.3,13.7,64765.0
22.0,Israel,0.919,82.3,16.1,13.3,41524.0
23.0,Malta,0.918,83.8,16.8,12.2,38884.0
23.0,Slovenia,0.918,80.7,17.7,12.8,39746.0
25.0,Austria,0.916,81.6,16.0,12.3,53619.0
26.0,United Arab Emirates,0.911,78.7,15.7,12.7,62574.0
27.0,Spain,0.905,83.0,17.9,10.6,38354.0
28.0,France,0.903,82.5,15.8,11.6,45937.0
29.0,Cyprus,0.896,81.2,15.6,12.4,38188.0
30.0,Italy,0.895,82.9,16.2,10.7,42840.0
31.0,Estonia,0.89,77.1,15.9,13.5,38048.0
32.0,Czechia,0.889,77.7,16.2,12.9,38745.0
33.0,Greece,0.887,80.1,20.0,11.4,29002.0
34.0,Poland,0.876,76.5,16.0,13.2,33034.0
35.0,Bahrain,0.875,78.8,16.3,11.0,39497.0
35.0,Lithuania,0.875,73.7,16.3,13.5,37931.0
35.0,Saudi Arabia,0.875,76.9,16.1,11.3,46112.0
38.0,Portugal,0.866,81.0,16.9,9.6,33155.0
39.0,Latvia,0.863,73.6,16.2,13.3,32803.0
40.0,Andorra,0.858,80.4,13.3,10.6,51167.0
40.0,Croatia,0.858,77.6,15.1,12.2,30132.0
42.0,Chile,0.855,78.9,16.7,10.9,24563.0
42.0,Qatar,0.855,79.3,12.6,10.0,87134.0
44.0,San Marino,0.853,80.9,12.3,10.8,52654.0
45.0,Slovakia,0.848,74.9,14.5,12.9,30690.0
46.0,Hungary,0.846,74.5,15.0,12.2,32789.0
47.0,Argentina,0.842,75.4,17.9,11.1,20925.0
48.0,Turkey,0.838,76.0,18.3,8.6,31033.0
49.0,Montenegro,0.832,76.3,15.1,12.2,20839.0
50.0,Kuwait,0.831,78.7,15.3,7.3,52920.0
51.0,Brunei Darussalam,0.829,74.6,14.0,9.2,64490.0
52.0,Russian Federation,0.822,69.4,15.8,12.8,27166.0
53.0,Romania,0.821,74.2,14.2,11.3,30027.0
54.0,Oman,0.816,72.5,14.6,11.7,27054.0
55.0,Bahamas,0.812,71.6,12.9,12.6,30486.0
56.0,Kazakhstan,0.811,69.4,15.8,12.3,23943.0
57.0,Trinidad and Tobago,0.81,73.0,14.5,11.6,23392.0
58.0,Costa Rica,0.809,77.0,16.5,8.8,19974.0
58.0,Uruguay,0.809,75.4,16.8,9.0,21269.0
60.0,Belarus,0.808,72.4,15.2,12.1,18849.0
61.0,Panama,0.805,76.2,13.1,10.5,26957.0
62.0,Malaysia,0.803,74.9,13.3,10.6,26658.0
63.0,Georgia,0.802,71.7,15.6,12.8,14664.0
63.0,Mauritius,0.802,73.6,15.2,10.4,22025.0
63.0,Serbia,0.802,74.2,14.4,11.4,19123.0
66.0,Thailand,0.8,78.7,15.9,8.7,17030.0
67.0,Albania,0.796,76.5,14.4,11.3,14131.0
68.0,Bulgaria,0.795,71.8,13.9,11.4,23079.0
68.0,Grenada,0.795,74.9,18.7,9.0,13484.0
70.0,Barbados,0.79,77.6,15.7,9.9,12306.0
71.0,Antigua and Barbuda,0.788,78.5,14.2,9.3,16792.0
72.0,Seychelles,0.785,71.3,13.9,10.3,25831.0
73.0,Sri Lanka,0.782,76.4,14.1,10.8,12578.0
74.0,Bosnia and Herzegovina,0.78,75.3,13.8,10.5,15242.0
75.0,Saint Kitts and Nevis,0.777,71.7,15.4,8.7,23358.0
76.0,Iran,0.774,73.9,14.6,10.6,13001.0
77.0,Ukraine,0.773,71.6,15.0,11.1,13256.0
78.0,North Macedonia,0.77,73.8,13.6,10.2,15918.0
79.0,China,0.768,78.2,14.2,7.6,17504.0
80.0,Dominican Republic,0.767,72.6,14.5,9.3,17990.0
80.0,Moldova (Republic of),0.767,68.8,14.4,11.8,14875.0
80.0,Palau,0.767,66.0,15.8,12.5,13819.0
83.0,Cuba,0.764,73.7,14.4,12.5,7879.0
84.0,Peru,0.762,72.4,15.4,9.9,12246.0
85.0,Armenia,0.759,72.0,13.1,11.3,13158.0
86.0,Mexico,0.758,70.2,14.9,9.2,17896.0
87.0,Brazil,0.754,72.8,15.6,8.1,14370.0
88.0,Colombia,0.752,72.8,14.4,8.9,14384.0
89.0,Saint Vincent and the Grenadines,0.751,69.6,14.7,10.8,11961.0
90.0,Maldives,0.747,79.9,12.6,7.3,15448.0
91.0,Algeria,0.745,76.4,14.6,8.1,10800.0
91.0,Azerbaijan,0.745,69.4,13.5,10.5,14257.0
91.0,Tonga,0.745,71.0,16.0,11.4,6822.0
91.0,Turkmenistan,0.745,69.3,13.2,11.3,13021.0
95.0,Ecuador,0.74,73.7,14.6,8.8,10312.0
96.0,Mongolia,0.739,71.0,15.0,9.4,10588.0
97.0,Egypt,0.731,70.2,13.8,9.6,11732.0
97.0,Tunisia,0.731,73.8,15.4,7.4,10258.0
99.0,Fiji,0.73,67.1,14.7,10.9,9980.0
99.0,Suriname,0.73,70.3,13.0,9.8,12672.0
101.0,Uzbekistan,0.727,70.9,12.5,11.9,7917.0
102.0,Dominica,0.72,72.8,13.3,8.1,11488.0
102.0,Jordan,0.72,74.3,10.6,10.4,9924.0
104.0,Libya,0.718,71.9,12.9,7.6,15336.0
105.0,Paraguay,0.717,70.3,13.0,8.9,12349.0
106.0,"Palestine, State of",0.715,73.5,13.4,9.9,6583.0
106.0,Saint Lucia,0.715,71.1,12.9,8.5,12048.0
108.0,Guyana,0.714,65.7,12.5,8.6,22465.0
109.0,South Africa,0.713,62.3,13.6,11.4,12948.0
110.0,Jamaica,0.709,70.5,13.4,9.2,8834.0
111.0,Samoa,0.707,72.8,12.4,11.4,5308.0
112.0,Gabon,0.706,65.8,13.0,9.4,13367.0
112.0,Lebanon,0.706,75.0,11.3,8.7,9526.0
114.0,Indonesia,0.705,67.6,13.7,8.6,11466.0
115.0,Viet Nam,0.703,73.6,13.0,8.4,7867.0
116.0,Philippines,0.699,69.3,13.1,9.0,8920.0
117.0,Botswana,0.693,61.1,12.3,10.3,16198.0
118.0,Bolivia,0.692,63.6,14.9,9.8,8111.0
118.0,Kyrgyzstan,0.692,70.0,13.2,11.4,4566.0
120.0,Venezuela,0.691,70.6,12.8,11.1,4811.0
121.0,Iraq,0.686,70.4,12.1,7.9,9977.0
122.0,Tajikistan,0.685,71.6,11.7,11.3,4548.0
123.0,Belize,0.683,70.5,13.0,8.8,6309.0
123.0,Morocco,0.683,74.0,14.2,5.9,7303.0
125.0,El Salvador,0.675,70.7,12.7,7.2,8296.0
126.0,Nicaragua,0.667,73.8,12.6,7.1,5625.0
127.0,Bhutan,0.666,71.8,13.2,5.2,9438.0
128.0,Cabo Verde,0.662,74.1,12.6,6.3,6230.0
129.0,Bangladesh,0.661,72.4,12.4,7.4,5472.0
130.0,Tuvalu,0.641,64.5,9.4,10.6,6351.0
131.0,Marshall Islands,0.639,65.3,10.2,10.9,4620.0
132.0,India,0.633,67.2,11.9,6.7,6590.0
133.0,Ghana,0.632,63.8,12.0,8.3,5745.0
134.0,Micronesia,0.628,70.7,11.5,7.8,3696.0
135.0,Guatemala,0.627,69.2,10.6,5.7,8723.0
136.0,Kiribati,0.624,67.4,11.8,8.0,4063.0
137.0,Honduras,0.621,70.1,10.1,7.1,5298.0
138.0,Sao Tome and Principe,0.618,67.6,13.4,6.2,4021.0
139.0,Namibia,0.615,59.3,11.9,7.2,8634.0
140.0,Lao People's Democratic Republic,0.607,68.1,10.1,5.4,7700.0
140.0,Timor-Leste,0.607,67.7,12.6,5.4,4461.0
140.0,Vanuatu,0.607,70.4,11.5,7.1,3085.0
143.0,Nepal,0.602,68.4,12.9,5.1,3877.0
144.0,Eswatini,0.597,57.1,13.7,5.6,7679.0
145.0,Equatorial Guinea,0.596,60.6,9.7,5.9,12074.0
146.0,Cambodia,0.593,69.6,11.5,5.1,4079.0
146.0,Zimbabwe,0.593,59.3,12.1,8.7,3810.0
148.0,Angola,0.586,61.6,12.2,5.4,5466.0
149.0,Myanmar,0.585,65.7,10.9,6.4,3851.0
150.0,Syrian Arab Republic,0.577,72.1,9.2,5.1,4192.0
151.0,Cameroon,0.576,60.3,13.1,6.2,3621.0
152.0,Kenya,0.575,61.4,10.7,6.7,4474.0
153.0,Congo,0.571,63.5,12.3,6.2,2889.0
154.0,Zambia,0.565,61.2,10.9,7.2,3218.0
155.0,Solomon Islands,0.564,70.3,10.3,5.7,2482.0
156.0,Comoros,0.558,63.4,11.9,5.1,3142.0
156.0,Papua New Guinea,0.558,65.4,10.4,4.7,4009.0
158.0,Mauritania,0.556,64.4,9.4,4.9,5075.0
159.0,C̫te d'Ivoire,0.55,58.6,10.7,5.2,5217.0
160.0,Tanzania,0.549,66.2,9.2,6.4,2664.0
161.0,Pakistan,0.544,66.1,8.7,4.5,4624.0
162.0,Togo,0.539,61.6,13.0,5.0,2167.0
163.0,Haiti,0.535,63.2,9.7,5.6,2848.0
163.0,Nigeria,0.535,52.7,10.1,7.2,4790.0
165.0,Rwanda,0.534,66.1,11.2,4.4,2210.0
166.0,Benin,0.525,59.8,10.8,4.3,3409.0
166.0,Uganda,0.525,62.7,10.1,5.7,2181.0
168.0,Lesotho,0.514,53.1,12.0,6.0,2700.0
169.0,Malawi,0.512,62.9,12.7,4.5,1466.0
170.0,Senegal,0.511,67.1,9.0,2.9,3344.0
171.0,Djibouti,0.509,62.3,7.4,4.1,5025.0
172.0,Sudan,0.508,65.3,7.9,3.8,3575.0
173.0,Madagascar,0.501,64.5,10.1,5.1,1484.0
174.0,Gambia,0.5,62.1,9.4,4.6,2172.0
175.0,Ethiopia,0.498,65.0,9.7,3.2,2361.0
176.0,Eritrea,0.492,66.5,8.1,4.9,1729.0
177.0,Guinea-Bissau,0.483,59.7,10.6,3.6,1908.0
178.0,Liberia,0.481,60.7,10.4,5.1,1289.0
179.0,DR Congo,0.479,59.2,9.8,7.0,1076.0
180.0,Afghanistan,0.478,62.0,10.3,3.0,1824.0
181.0,Sierra Leone,0.477,60.1,9.6,4.6,1622.0
182.0,Guinea,0.465,58.9,9.8,2.2,2481.0
183.0,Yemen,0.455,63.8,9.1,3.2,1314.0
184.0,Burkina Faso,0.449,59.3,9.1,2.1,2118.0
185.0,Mozambique,0.446,59.3,10.2,3.2,1198.0
186.0,Mali,0.428,58.9,7.4,2.3,2133.0
187.0,Burundi,0.426,61.7,10.7,3.1,732.0
188.0,Central African Republic,0.404,53.9,8.0,4.3,966.0
189.0,Niger,0.4,61.6,7.0,2.1,1240.0
190.0,Chad,0.394,52.5,8.0,2.6,1364.0
191.0,South Sudan,0.385,55.0,5.5,5.7,768.0
